airport_name	iata	number_of_hotels	country_code	deeplink	
Olive Branch	OLV	30	us	http://www.booking.com/airport/us/OLV.html	
Liberty County	2J2	13	us	http://www.booking.com/airport/us/2J2.html	
Dali Airport	DLU	31	cn	http://www.booking.com/airport/cn/DLU.html	
College Park	CGS	31	us	http://www.booking.com/airport/us/CGS.html	
Hamilton International Airport	YHM	30	ca	http://www.booking.com/airport/ca/YHM.html	
Federico García Lorca	GRX	30	es	http://www.booking.com/airport/es/GRX.html	
Grant County	SVC	9	us	http://www.booking.com/airport/us/SVC.html	
Rubem Berta	URG	4	br	http://www.booking.com/airport/br/URG.html	
Karup	KRP	30	dk	http://www.booking.com/airport/dk/KRP.html	
Saginaw County H.W. Browne	HYX	30	us	http://www.booking.com/airport/us/HYX.html	
Kurumoch International Airport	KUF	32	ru	http://www.booking.com/airport/ru/KUF.html	
Toamasina	TMM	3	mg	http://www.booking.com/airport/mg/TMM.html	
Araraquara	AQA	9	br	http://www.booking.com/airport/br/AQA.html	
Ratnagiri	RTC	11	in	http://www.booking.com/airport/in/RTC.html	
Enrique Adolfo Jiménez	ONX	11	us	http://www.booking.com/airport/us/ONX.html	
Baghdad International Airport	BGW	16	iq	http://www.booking.com/airport/iq/BGW.html	
Gurdon Lowe Field	5M8	5	us	http://www.booking.com/airport/us/5M8.html	
Tonopah	TPH	6	us	http://www.booking.com/airport/us/TPH.html	
Diego Jimenez Torres Airport	FAJ	30	pr	http://www.booking.com/airport/pr/FAJ.html	
Touho	TOU	2	nc	http://www.booking.com/airport/nc/TOU.html	
Rocky Mount-Wilson Regional	RWI	30	us	http://www.booking.com/airport/us/RWI.html	
Laughlin Air Force Base	DLF	12	us	http://www.booking.com/airport/us/DLF.html	
Bauru	JTC	20	br	http://www.booking.com/airport/br/JTC.html	
Ile D Yeu	IDY	30	fr	http://www.booking.com/airport/fr/IDY.html	
Yeovilton	YEO	30	gb	http://www.booking.com/airport/gb/YEO.html	
Ingalls Field	HSP	3	us	http://www.booking.com/airport/us/HSP.html	
Page Municipal	PGA	17	us	http://www.booking.com/airport/us/PGA.html	
Haxtun Municipal	17V	1	us	http://www.booking.com/airport/us/17V.html	
Ibague	IBE	19	co	http://www.booking.com/airport/co/IBE.html	
Franklin County	LHZ	9	us	http://www.booking.com/airport/us/LHZ.html	
Matsapha International	MTS	10	sz	http://www.booking.com/airport/sz/MTS.html	
Senou	BKO	5	ml	http://www.booking.com/airport/ml/BKO.html	
Sandusky County Regional	S24	30	us	http://www.booking.com/airport/us/S24.html	
Olivia Regional	OVL	2	us	http://www.booking.com/airport/us/OVL.html	
Red River Army Depot Helipad	22T	30	us	http://www.booking.com/airport/us/22T.html	
Oberpfaffenhofen	OBF	30	de	http://www.booking.com/airport/de/OBF.html	
Eldon Model Airpark	H79	30	us	http://www.booking.com/airport/us/H79.html	
Angads	OUD	8	ma	http://www.booking.com/airport/ma/OUD.html	
Lampasas	T28	4	us	http://www.booking.com/airport/us/T28.html	
Opa Locka	OPF	30	us	http://www.booking.com/airport/us/OPF.html	
Batsfjord	BJF	3	no	http://www.booking.com/airport/no/BJF.html	
Moorhead Municipal	JKJ	30	us	http://www.booking.com/airport/us/JKJ.html	
Geneva Municipal	33J	4	us	http://www.booking.com/airport/us/33J.html	
Chorman	D74	10	us	http://www.booking.com/airport/us/D74.html	
Union County Troy Shelton Fld	35A	6	us	http://www.booking.com/airport/us/35A.html	
Purdue University	LAF	25	us	http://www.booking.com/airport/us/LAF.html	
Sacramento Executive	SAC	30	us	http://www.booking.com/airport/us/SAC.html	
Princeton	39N	30	us	http://www.booking.com/airport/us/39N.html	
Monroe County	MVC	5	us	http://www.booking.com/airport/us/MVC.html	
Mt Carmel Municipal	AJG	8	us	http://www.booking.com/airport/us/AJG.html	
McEntire Air National Guard Station	MMT	30	us	http://www.booking.com/airport/us/MMT.html	
Leite Lopes	RAO	30	br	http://www.booking.com/airport/br/RAO.html	
Sodankyla	SOT	3	fi	http://www.booking.com/airport/fi/SOT.html	
Franceville/Mvengue	MVB	4	ga	http://www.booking.com/airport/ga/MVB.html	
Sunray	X43	9	us	http://www.booking.com/airport/us/X43.html	
High Level	YOJ	6	ca	http://www.booking.com/airport/ca/YOJ.html	
Rooke Field	RFG	1	us	http://www.booking.com/airport/us/RFG.html	
Memmingen	FMM	30	de	http://www.booking.com/airport/de/FMM.html	
San Saba County Municipal	81R	2	us	http://www.booking.com/airport/us/81R.html	
Sheppard AFB	SPS	23	us	http://www.booking.com/airport/us/SPS.html	
Dos Galpoes	LVB	3	br	http://www.booking.com/airport/br/LVB.html	
Perito Moreno	PMQ	1	ar	http://www.booking.com/airport/ar/PMQ.html	
Fulton County	NY0	4	us	http://www.booking.com/airport/us/NY0.html	
Grosseto (Baccarini)	GRS	31	it	http://www.booking.com/airport/it/GRS.html	
Aerodrom Tivat	TIV	31	me	http://www.booking.com/airport/me/TIV.html	
Skellefteå	SFT	12	se	http://www.booking.com/airport/se/SFT.html	
Gwangju	KWJ	12	kr	http://www.booking.com/airport/kr/KWJ.html	
Padgham Field	35D	5	us	http://www.booking.com/airport/us/35D.html	
Pimaga	PMP	30	us	http://www.booking.com/airport/us/PMP.html	
St Clair Regional	K39	14	us	http://www.booking.com/airport/us/K39.html	
Hassfurt Schweinfurt	XXX	30	de	http://www.booking.com/airport/de/XXX.html	
Lappeenranta	LPP	28	fi	http://www.booking.com/airport/fi/LPP.html	
Jundiai	QDV	30	br	http://www.booking.com/airport/br/QDV.html	
Skagen	SKN	13	no	http://www.booking.com/airport/no/SKN.html	
Mount Comfort	MQJ	31	us	http://www.booking.com/airport/us/MQJ.html	
Lal Bahadur Shastri International Airport	VNS	30	in	http://www.booking.com/airport/in/VNS.html	
Comox	YQQ	30	ca	http://www.booking.com/airport/ca/YQQ.html	
Weiser Air Park	EYQ	30	us	http://www.booking.com/airport/us/EYQ.html	
Dallas Executive	RBD	30	us	http://www.booking.com/airport/us/RBD.html	
Biju Patnaik International Airport	BBI	31	id	http://www.booking.com/airport/id/BBI.html	
Neillsville Municipal	VIQ	6	us	http://www.booking.com/airport/us/VIQ.html	
Hamry Field	K74	30	us	http://www.booking.com/airport/us/K74.html	
Plan de Guadalupe International	SLW	48	mx	http://www.booking.com/airport/mx/SLW.html	
Limnos	LXS	30	gr	http://www.booking.com/airport/gr/LXS.html	
Teslin	YZW	1	ca	http://www.booking.com/airport/ca/YZW.html	
Raleigh Durham	RDU	30	us	http://www.booking.com/airport/us/RDU.html	
Colmar - Houssen	CMR	30	fr	http://www.booking.com/airport/fr/CMR.html	
Dillon	DLN	3	us	http://www.booking.com/airport/us/DLN.html	
I95 Hardin County	I95	3	us	http://www.booking.com/airport/us/I95.html	
Solberg-Hunterdon	N51	30	us	http://www.booking.com/airport/us/N51.html	
Montauk	MTP	30	us	http://www.booking.com/airport/us/MTP.html	
Highbury	HIG	6	us	http://www.booking.com/airport/us/HIG.html	
Oneonta Municipal	N66	18	us	http://www.booking.com/airport/us/N66.html	
Tuy Hoa Airport	TBB	11	vn	http://www.booking.com/airport/vn/TBB.html	
Glasgow Prestwick	PIK	30	gb	http://www.booking.com/airport/gb/PIK.html	
Rafha	RAH	2	sa	http://www.booking.com/airport/sa/RAH.html	
Cedar City Regional	CDC	27	us	http://www.booking.com/airport/us/CDC.html	
Quonset State	OQU	30	us	http://www.booking.com/airport/us/OQU.html	
Cable	CCB	30	us	http://www.booking.com/airport/us/CCB.html	
Ohio State University	OSU	30	us	http://www.booking.com/airport/us/OSU.html	
Chabeuil	VAF	30	fr	http://www.booking.com/airport/fr/VAF.html	
